127.0.0.1, 2018-04-23 16:44:51, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000378
127.0.0.1, 2018-04-23 16:44:51, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000402
127.0.0.1, 2018-04-23 16:44:51, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000409
127.0.0.1, 2018-04-23 16:44:51, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000480
127.0.0.1, 2018-04-23 16:44:51, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000488
127.0.0.1, 2018-04-23 16:44:51, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000448
127.0.0.1, 2018-04-23 16:44:51, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000413
127.0.0.1, 2018-04-23 16:44:51, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000316
127.0.0.1, 2018-04-23 16:44:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2018-04-23 16:45:00, GET, /start/default/index, HTTP/1.1, 200, 0.030302
127.0.0.1, 2018-04-23 16:45:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000320
127.0.0.1, 2018-04-23 16:52:58, GET, /start/default/index, HTTP/1.1, 200, 0.034982
127.0.0.1, 2018-04-23 16:52:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000347
127.0.0.1, 2018-04-23 16:53:01, GET, /start/default/index, HTTP/1.1, 200, 0.021439
127.0.0.1, 2018-04-23 16:53:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000366
127.0.0.1, 2018-04-23 16:53:11, GET, /start/default/user/logout, HTTP/1.1, 303, 0.038691
127.0.0.1, 2018-04-23 16:53:12, GET, /start/default/index, HTTP/1.1, 200, 0.022623
127.0.0.1, 2018-04-23 16:53:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000369
127.0.0.1, 2018-04-23 16:54:36, GET, /start/default/index, HTTP/1.1, 200, 0.032777
127.0.0.1, 2018-04-23 16:54:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
127.0.0.1, 2018-04-23 16:55:54, GET, /start/default/index, HTTP/1.1, 500, 0.067912
127.0.0.1, 2018-04-23 16:55:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000982
127.0.0.1, 2018-04-23 16:55:59, GET, /start/default/index, HTTP/1.1, 500, 0.054490
127.0.0.1, 2018-04-23 16:56:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000366
127.0.0.1, 2018-04-23 16:56:06, GET, /start/default/index, HTTP/1.1, 200, 0.020715
127.0.0.1, 2018-04-23 16:56:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000333
127.0.0.1, 2018-04-23 16:56:16, GET, /start/default/index, HTTP/1.1, 200, 0.026789
127.0.0.1, 2018-04-23 16:56:16, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000647
127.0.0.1, 2018-04-23 16:56:16, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000477
127.0.0.1, 2018-04-23 16:56:16, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000444
127.0.0.1, 2018-04-23 16:56:16, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000439
127.0.0.1, 2018-04-23 16:56:16, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000559
127.0.0.1, 2018-04-23 16:56:16, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000582
127.0.0.1, 2018-04-23 16:56:16, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.003779
127.0.0.1, 2018-04-23 16:56:16, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001219
127.0.0.1, 2018-04-23 16:56:16, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000453
127.0.0.1, 2018-04-23 16:56:16, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.010392
127.0.0.1, 2018-04-23 16:56:16, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.005097
127.0.0.1, 2018-04-23 16:56:16, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000650
127.0.0.1, 2018-04-23 16:56:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000309
127.0.0.1, 2018-04-23 16:59:11, GET, /start/default/index, HTTP/1.1, 500, 0.068066
127.0.0.1, 2018-04-23 16:59:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2018-04-23 16:59:25, GET, /start/default/index, HTTP/1.1, 500, 0.079025
127.0.0.1, 2018-04-23 16:59:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000760
127.0.0.1, 2018-04-23 17:00:17, GET, /start/default/index, HTTP/1.1, 500, 0.049779
127.0.0.1, 2018-04-23 17:00:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000458
127.0.0.1, 2018-04-23 17:00:24, GET, /start/default/index, HTTP/1.1, 500, 0.049614
127.0.0.1, 2018-04-23 17:00:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2018-04-23 17:00:34, GET, /start/default/index, HTTP/1.1, 200, 0.022989
127.0.0.1, 2018-04-23 17:00:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000338
127.0.0.1, 2018-04-23 17:01:10, GET, /start/default/index, HTTP/1.1, 500, 0.094877
127.0.0.1, 2018-04-23 17:01:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000384
127.0.0.1, 2018-04-23 17:01:19, GET, /start/default/index, HTTP/1.1, 200, 0.025441
127.0.0.1, 2018-04-23 17:01:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000345
127.0.0.1, 2018-04-23 17:03:05, GET, /start/default/index, HTTP/1.1, 200, 0.028476
127.0.0.1, 2018-04-23 17:03:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2018-04-23 17:03:08, GET, /start/default/index, HTTP/1.1, 200, 0.021694
127.0.0.1, 2018-04-23 17:03:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000343
127.0.0.1, 2018-04-23 17:07:27, GET, /start/default/index, HTTP/1.1, 200, 0.030789
127.0.0.1, 2018-04-23 17:07:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000478
127.0.0.1, 2018-04-23 18:13:19, GET, /, HTTP/1.1, 303, 0.006470
127.0.0.1, 2018-04-23 18:13:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.229514
127.0.0.1, 2018-04-23 18:13:33, GET, /start/default/index.html, HTTP/1.1, 200, 0.102126
127.0.0.1, 2018-04-23 18:13:33, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.003577
127.0.0.1, 2018-04-23 18:13:33, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000467
127.0.0.1, 2018-04-23 18:13:33, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000454
127.0.0.1, 2018-04-23 18:13:33, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000513
127.0.0.1, 2018-04-23 18:13:33, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000471
127.0.0.1, 2018-04-23 18:13:33, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000502
127.0.0.1, 2018-04-23 18:13:33, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000465
127.0.0.1, 2018-04-23 18:13:33, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001693
127.0.0.1, 2018-04-23 18:13:33, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000376
127.0.0.1, 2018-04-23 18:13:33, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.000521
127.0.0.1, 2018-04-23 18:13:33, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000448
127.0.0.1, 2018-04-23 18:13:33, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000375
127.0.0.1, 2018-04-23 18:13:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000320
127.0.0.1, 2018-04-23 18:14:41, GET, /start/default/user, HTTP/1.1, 303, 0.029022
127.0.0.1, 2018-04-23 18:14:41, GET, /start/default/user/login, HTTP/1.1, 200, 0.031541
127.0.0.1, 2018-04-23 18:14:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000308
127.0.0.1, 2018-04-23 18:14:48, POST, /start/default/user/login, HTTP/1.1, 303, 0.035477
